国家,本周较上周新增死亡人数增速
全球平均,-0.04677116858459329
加纳,7.0
厄瓜多尔,5.625
新加坡,4.0
卡塔尔,1.5
尼日利亚,1.4
伊拉克,1.25
巴西,0.6450060168471721
印度,0.638157894736842
英国,0.6090628218331617
克罗地亚,0.5333333333333334
阿富汗,0.47058823529411775
俄罗斯,0.47010869565217384
秘鲁,0.4204545454545454
阿联酋,0.41176470588235303
白俄罗斯,0.36363636363636354
巴基斯坦,0.3520000000000001
埃及,0.3012048192771084
韩国,0.25
哥伦比亚,0.23611111111111116
智利,0.19999999999999996
澳大利亚,0.18181818181818188
乌克兰,0.1470588235294117
加拿大,0.1366834170854272
菲律宾,0.12371134020618557
塞尔维亚,0.11764705882352944
墨西哥,0.11259259259259258
南非,0.08823529411764697
科威特,0.07692307692307687
中国,0.0
巴拿马,0.0
阿根廷,0.0
多米尼加,-0.0535714285714286
罗马尼亚,-0.05555555555555558
沙特阿拉伯,-0.09090909090909094
日本,-0.10569105691056913
以色列,-0.1428571428571429
美国,-0.1433621366849961
伊朗,-0.1825525040387722
匈牙利,-0.18888888888888888
摩尔多瓦,-0.18918918918918914
丹麦,-0.20833333333333337
波兰,-0.20903954802259883
土耳其,-0.2279411764705882
阿尔及利亚,-0.23076923076923073
西班牙,-0.23119972018188173
泰国,-0.25
瑞士,-0.25108225108225113
葡萄牙,-0.2590673575129534
意大利,-0.263224580297751
捷克,-0.2702702702702703
荷兰,-0.2846534653465347
瑞典,-0.29955947136563876
德国,-0.30353280461427545
法国,-0.34791856578547553
希腊,-0.35
奥地利,-0.3548387096774194
摩洛哥,-0.36363636363636365
孟加拉,-0.375
亚美尼亚,-0.375
印度尼西亚,-0.4
比利时,-0.4207650273224044
卢森堡,-0.46153846153846156
马来西亚,-0.5
阿曼,-0.5
爱尔兰,-0.5467479674796748
喀麦隆,-0.6451612903225806
芬兰,-0.6458333333333333
乌兹别克斯坦,-0.6666666666666667
挪威,-0.7297297297297297
哈萨克斯坦,-1.0
巴林,-1.0
